Angle_deg,Mass_kg,Bore_mm,Force_N,Volume_L,KE_J,Accel_g
14,46,92.7422098453651,6755.30187745683,249.533713062951,57810.454503905,14.717813914909
15,46,92.7937277008594,6762.80903795859,249.533713062951,57810.454503905,14.717813914909
5,47,93.1497663537987,6814.80480844797,254.332438314161,58922.1940135955,14.717813914909
6,47,93.2039578510714,6822.73637747499,254.332438314161,58922.1940135955,14.717813914909
7,47,93.2579707072907,6830.64639046449,254.332438314161,58922.1940135955,14.717813914909
8,47,93.311788794085,6838.53243794986,254.332438314161,58922.1940135955,14.717813914909
9,47,93.3653960688921,6846.39211776466,254.332438314161,58922.1940135955,14.717813914909
10,47,93.41877657935,6854.22303577428,254.332438314161,58922.1940135955,14.717813914909
11,47,93.4719144676322,6862.02280660523,254.332438314161,58922.1940135955,14.717813914909
12,47,93.5247939747257,6869.78905437175,254.332438314161,58922.1940135955,14.717813914909
13,47,93.5773994446527,6877.51941339956,254.332438314161,58922.1940135955,14.717813914909
14,47,93.6297153286337,6885.21152894639,254.332438314161,58922.1940135955,14.717813914909
15,47,93.6817261891936,6892.86305791934,254.332438314161,58922.1940135955,14.717813914909
5,48,94.0244312365026,6943.38603124888,259.131163565372,60033.933523286,14.717813914909
6,48,94.0791315852889,6951.46725252169,259.131163565372,60033.933523286,14.717813914909
7,48,94.1336516156043,6959.52651103929,259.131163565372,60033.933523286,14.717813914909
8,48,94.1879750476336,6967.56135187344,259.131163565372,60033.933523286,14.717813914909
9,48,94.2420856881771,6975.56932753381,259.131163565372,60033.933523286,14.717813914909
10,48,94.2959674350819,6983.54799871342,259.131163565372,60033.933523286,14.717813914909
11,48,94.3496042816185,6991.49493503174,259.131163565372,60033.933523286,14.717813914909
12,48,94.4029803207989,6999.407715775,259.131163565372,60033.933523286,14.717813914909
13,48,94.4560797496373,7007.28393063351,259.131163565372,60033.933523286,14.717813914909
14,48,94.5088868733531,7015.12118043594,259.131163565372,60033.933523286,14.717813914909
15,48,94.5613861095153,7022.91707788008,259.131163565372,60033.933523286,14.717813914909
5,49,94.8910341756708,7071.96725404978,263.929888816582,61145.6730329764,14.717813914909
6,49,94.9462386857949,7080.19812756839,263.929888816582,61145.6730329764,14.717813914909
7,49,95.0012612154914,7088.40663161409,263.929888816582,61145.6730329764,14.717813914909
8,49,95.0560853348979,7096.59026579702,263.929888816582,61145.6730329764,14.717813914909
9,49,95.1106947015652,7104.74653730295,263.929888816582,61145.6730329764,14.717813914909
10,49,95.1650730649304,7112.87296165255,263.929888816582,61145.6730329764,14.717813914909
11,49,95.2192042707335,7120.96706345826,263.929888816582,61145.6730329764,14.717813914909
12,49,95.2730722653751,7129.02637717824,263.929888816582,61145.6730329764,14.717813914909
13,49,95.3266611002167,7137.04844786746,263.929888816582,61145.6730329764,14.717813914909
14,49,95.3799549358224,7145.03083192549,263.929888816582,61145.6730329764,14.717813914909
15,49,95.4329380461412,7152.97109784082,263.929888816582,61145.6730329764,14.717813914909
5,50,95.7497940703208,7200.54847685068,268.728614067793,62257.4125426669,14.717813914909
6,50,95.805498178955,7208.92900261509,268.728614067793,62257.4125426669,14.717813914909
7,50,95.8610186602464,7217.28675218889,268.728614067793,62257.4125426669,14.717813914909
8,50,95.9163389356429,7225.61917972061,268.728614067793,62257.4125426669,14.717813914909
9,50,95.9714425147969,7233.9237470721,268.728614067793,62257.4125426669,14.717813914909
10,50,96.0263130000786,7242.19792459169,268.728614067793,62257.4125426669,14.717813914909
11,50,96.0809340910326,7250.43919188477,268.728614067793,62257.4125426669,14.717813914909
12,50,96.135289588775,7258.64503858148,268.728614067793,62257.4125426669,14.717813914909
13,50,96.1893634003329,7266.81296510142,268.728614067793,62257.4125426669,14.717813914909
14,50,96.2431395429242,7274.94048341505,268.728614067793,62257.4125426669,14.717813914909
15,50,96.2966021481777,7283.02511780156,268.728614067793,62257.4125426669,14.717813914909
